Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763085041.637371,58956,10,1
2,Payment,1763085041.637372,55704,14,1
1,NewOrder,1763085041.637385,143543,11,1
1,NewOrder,1763085041.637391,167705,12,1
1,NewOrder,1763085041.637398,83977,9,1
2,Payment,1763085041.637405,60346,13,1
2,Payment,1763085041.637407,65375,8,1
2,Payment,1763085041.637428,55647,15,1
4,Delivery,1763085041.637523,167608,6,1
1,NewOrder,1763085041.637625,143619,4,1
2,Payment,1763085041.637736,55358,2,1
2,Payment,1763085041.637823,55253,5,1
2,Payment,1763085041.637988,55089,0,1
1,NewOrder,1763085041.638170,143658,3,1
2,Payment,1763085041.638307,57688,1,1
1,NewOrder,1763085041.638316,145295,7,1
4,Delivery,1763085041.693202,117529,0,1
2,Payment,1763085041.693204,10404,5,1
2,Payment,1763085041.693205,20779,14,1
2,Payment,1763085041.693232,20751,15,1
1,NewOrder,1763085041.693238,111830,2,1
1,NewOrder,1763085041.696021,109062,1,1
1,NewOrder,1763085041.696352,108777,10,1
2,Payment,1763085041.697774,11347,13,1
2,Payment,1763085041.702810,31515,8,1
1,NewOrder,1763085041.703638,101434,5,1
1,NewOrder,1763085041.709142,95946,13,1
2,Payment,1763085041.714003,20309,14,1
2,Payment,1763085041.714003,20281,15,1
2,Payment,1763085041.721408,13589,9,1
4,Delivery,1763085041.734304,73653,15,1
2,Payment,1763085041.734334,21944,14,1
2,Payment,1763085041.734344,21933,8,1
1,NewOrder,1763085041.735012,70085,9,1
1,NewOrder,1763085041.756302,63193,8,1
1,NewOrder,1763085041.756303,48775,14,1
2,Payment,1763085041.780976,24135,11,1
2,Payment,1763085041.781282,23805,4,1
2,Payment,1763085041.781856,23232,3,1
2,Payment,1763085041.783719,21356,7,1
1,NewOrder,1763085041.805101,103059,2,1
2,Payment,1763085041.805110,14683,14,1
2,Payment,1763085041.805111,7963,3,1
1,NewOrder,1763085041.805119,103039,9,1
1,NewOrder,1763085041.805123,103273,11,1
1,NewOrder,1763085041.805124,103048,13,1
1,NewOrder,1763085041.805135,103025,7,1
2,Payment,1763085041.805141,14140,12,1
5,StockLevel,1763085041.805142,5905,4,1
1,NewOrder,1763085041.805146,41867,10,1
1,NewOrder,1763085041.805149,41867,6,1
1,NewOrder,1763085041.805464,78714,1,1
1,NewOrder,1763085041.805605,43758,5,1
1,NewOrder,1763085041.807977,70587,15,1
2,Payment,1763085041.810792,15761,0,1
1,NewOrder,1763085041.811071,71840,4,1
2,Payment,1763085041.813091,36198,3,1
2,Payment,1763085041.819315,27695,12,1
2,Payment,1763085041.819522,9182,8,1
1,NewOrder,1763085041.819820,88818,14,1
2,Payment,1763085041.826582,22749,0,1
1,NewOrder,1763085041.828721,54211,8,1
2,Payment,1763085041.847038,28372,10,1
1,NewOrder,1763085041.847046,61114,6,1
2,Payment,1763085041.847050,28331,12,1
2,Payment,1763085041.849315,26688,3,1
2,Payment,1763085041.849352,26043,0,1
4,Delivery,1763085041.849381,136371,5,1
2,Payment,1763085041.875411,45328,0,1
2,Payment,1763085041.875433,32725,10,1
5,StockLevel,1763085041.875520,6133,12,1
1,NewOrder,1763085041.876019,84808,3,1
2,Payment,1763085041.878604,42153,15,1
1,NewOrder,1763085041.881675,103117,12,1
2,Payment,1763085041.882934,37790,4,1
1,NewOrder,1763085041.882954,101905,8,1
1,NewOrder,1763085041.884200,102664,1,1
1,NewOrder,1763085041.908194,76573,9,1
1,NewOrder,1763085041.908194,76643,10,1
2,Payment,1763085041.908198,12566,2,1
2,Payment,1763085041.908206,12684,7,1
2,Payment,1763085041.908225,12661,6,1
1,NewOrder,1763085041.908241,76556,13,1
5,StockLevel,1763085041.908406,14122,11,1
2,Payment,1763085041.908652,12087,14,1
2,Payment,1763085041.920747,19163,4,1
1,NewOrder,1763085041.920759,64030,14,1
2,Payment,1763085041.920759,19146,0,1
1,NewOrder,1763085041.920781,64018,2,1
2,Payment,1763085041.920792,19123,15,1
1,NewOrder,1763085041.920901,63903,6,1
4,Delivery,1763085041.920905,158607,7,1
1,NewOrder,1763085041.922547,38272,11,1
1,NewOrder,1763085041.939936,52971,0,1
2,Payment,1763085041.939937,20905,4,1
2,Payment,1763085041.939939,20895,15,1
1,NewOrder,1763085041.960846,32300,11,1
2,Payment,1763085041.960851,23966,3,1
1,NewOrder,1763085041.960867,32042,15,1
1,NewOrder,1763085041.960868,32013,4,1
2,Payment,1763085041.984792,8313,9,1
1,NewOrder,1763085041.984813,12957,14,1
2,Payment,1763085041.984815,8330,12,1
2,Payment,1763085041.984819,8133,13,1
1,NewOrder,1763085041.984824,99246,2,1
1,NewOrder,1763085041.984827,99179,6,1
1,NewOrder,1763085041.984829,28744,3,1
2,Payment,1763085041.984849,8058,10,1
2,Payment,1763085041.984877,8034,8,1
2,Payment,1763085041.985771,10661,5,1
1,NewOrder,1763085041.986882,85168,1,1
4,Delivery,1763085041.992902,159215,4,1
2,Payment,1763085041.992935,31822,8,1
1,NewOrder,1763085041.992936,90485,10,1
2,Payment,1763085041.992942,31818,0,1
2,Payment,1763085041.992951,20613,15,1
1,NewOrder,1763085041.992966,90580,13,1
1,NewOrder,1763085041.993119,90327,9,1
5,StockLevel,1763085041.993161,2291,12,1
1,NewOrder,1763085041.993166,88421,11,1
2,Payment,1763085041.995470,29283,12,1
1,NewOrder,1763085041.996452,85130,5,1
1,NewOrder,1763085041.997789,83818,14,1
1,NewOrder,1763085042.013586,70331,15,1
2,Payment,1763085042.013595,13016,3,1
1,NewOrder,1763085042.024776,63180,12,1
2,Payment,1763085042.024779,28208,8,1
