Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,49.200,26.033,13.087,15.624,17.284,23.737,41.838,69.861,158.607,167.608,0.038
5,63.400,28.286,12.711,15.247,16.380,18.538,22.266,26.974,725.856,1027.229,0.035
10,40.200,52.575,12.095,14.944,15.979,17.489,35.081,274.300,927.247,928.932,0.019
15,30.600,58.534,12.550,14.588,15.865,17.507,32.471,527.167,627.219,627.920,0.017
20,30.200,42.819,12.196,14.472,15.948,18.162,23.034,273.883,827.368,829.362,0.023
25,38.800,32.605,10.710,14.714,16.169,18.229,26.739,32.575,1025.942,1127.640,0.031
30,31.200,34.844,12.351,14.358,15.406,17.083,20.657,35.625,827.665,926.407,0.029
35,25.800,67.763,12.517,15.219,16.592,19.172,34.939,273.425,1027.229,1030.424,0.015
40,39.000,33.282,12.612,14.471,15.648,17.338,19.724,35.121,1026.986,1029.187,0.030
45,28.600,41.913,12.668,14.893,16.300,18.236,21.687,36.611,1027.305,1029.580,0.024
50,34.800,40.265,12.447,14.336,15.694,17.320,19.989,30.912,927.661,927.922,0.025
55,26.200,44.247,12.449,14.454,15.420,18.155,21.809,30.138,630.403,1030.772,0.023
