Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,633.600,15.302,4.823,8.805,10.501,14.186,28.829,40.628,85.168,167.705,0.065
5,657.600,15.336,4.735,8.479,9.821,11.432,13.732,16.853,27.838,1023.797,0.065
10,400.200,20.117,5.127,8.092,9.251,10.922,13.670,21.705,420.370,923.651,0.050
15,321.000,29.186,4.750,8.028,9.316,10.924,14.879,27.958,619.212,637.080,0.034
20,312.000,31.852,4.863,8.303,9.619,11.428,16.996,164.402,818.495,823.250,0.031
25,460.000,20.721,4.251,8.071,9.585,11.513,15.609,22.554,521.343,1119.856,0.048
30,382.600,21.020,4.203,7.842,9.003,10.664,13.290,22.170,821.002,921.893,0.048
35,296.400,32.112,4.296,8.065,9.394,11.373,15.907,25.955,1020.654,1068.543,0.031
40,395.200,26.002,4.584,8.046,9.386,10.962,13.491,20.879,1019.480,1648.736,0.038
45,354.600,29.505,4.031,8.028,9.433,11.178,14.337,20.540,1019.734,1025.324,0.034
50,419.600,19.814,4.127,7.972,9.212,11.010,14.778,19.621,625.336,923.653,0.050
55,327.000,27.175,4.853,8.000,9.192,11.136,13.841,17.283,621.793,1024.620,0.037
