Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,51.000,2.724,0.636,0.844,1.013,1.403,2.296,19.809,31.086,40.562,0.367
5,58.800,0.943,0.554,0.755,0.846,0.997,1.421,1.597,2.361,3.664,1.060
10,30.800,0.883,0.546,0.749,0.805,0.912,1.167,1.492,1.823,2.164,1.132
15,31.200,0.871,0.559,0.740,0.803,0.911,1.106,1.465,1.949,2.311,1.148
20,30.200,0.906,0.523,0.724,0.794,0.907,1.144,1.524,2.687,4.750,1.104
25,42.600,1.010,0.578,0.705,0.789,0.893,1.350,1.521,6.380,18.606,0.991
30,38.200,0.884,0.504,0.704,0.791,0.908,1.391,1.577,2.158,2.274,1.131
35,27.400,0.877,0.526,0.709,0.790,0.910,1.091,1.615,2.538,2.918,1.140
40,33.600,0.987,0.465,0.726,0.813,0.928,1.296,1.702,4.942,11.050,1.013
45,33.000,0.903,0.572,0.728,0.802,0.926,1.278,1.413,2.287,5.784,1.107
50,39.200,0.842,0.545,0.708,0.783,0.893,1.044,1.482,1.698,2.310,1.187
55,28.400,0.947,0.529,0.710,0.792,0.957,1.428,1.516,3.731,4.267,1.056
