Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,584.400,8.041,2.656,4.501,5.522,7.600,18.548,22.801,32.725,65.375,0.124
5,623.000,8.464,3.050,4.604,5.354,6.312,7.819,9.834,18.080,1018.055,0.118
10,403.000,11.005,2.495,4.255,4.768,5.768,7.069,8.564,261.655,918.320,0.091
15,299.800,17.114,2.415,4.181,4.723,6.021,7.837,11.444,519.081,617.380,0.058
20,315.600,18.855,2.603,4.247,4.966,6.730,9.014,12.883,417.386,820.129,0.053
25,438.400,10.225,2.833,4.165,4.788,5.811,7.711,9.868,26.026,1117.931,0.098
30,380.000,15.248,2.773,4.109,4.560,5.446,7.036,8.714,816.462,916.730,0.066
35,282.000,16.575,2.557,4.170,4.633,5.499,8.165,11.063,616.371,1017.851,0.060
40,379.800,11.416,2.111,4.215,4.780,6.375,8.260,9.445,69.708,1020.547,0.088
45,306.600,17.591,2.521,4.183,4.818,6.199,8.181,10.451,721.502,1020.757,0.057
50,388.800,13.045,2.130,4.159,4.662,5.849,7.738,9.842,137.288,917.196,0.077
55,311.000,11.531,2.886,4.167,4.628,5.815,8.578,10.148,188.209,1017.861,0.087
