Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,59.400,3.404,0.928,1.434,1.841,2.996,4.433,19.471,25.378,28.838,0.294
5,56.200,1.455,0.890,1.121,1.358,1.481,1.617,1.752,6.251,11.211,0.687
10,38.600,1.282,0.919,1.075,1.251,1.418,1.541,1.597,2.937,4.220,0.780
15,25.400,1.462,0.894,1.063,1.284,1.436,1.522,1.567,8.659,12.873,0.684
20,27.600,1.308,0.876,1.079,1.278,1.478,1.552,1.632,1.915,4.881,0.764
25,41.000,1.396,0.887,1.108,1.312,1.455,1.535,1.614,3.634,13.658,0.716
30,35.000,1.266,0.860,1.066,1.221,1.406,1.513,1.582,2.382,4.113,0.790
35,28.200,1.308,0.890,1.083,1.251,1.428,1.576,1.761,2.078,6.477,0.765
40,33.800,1.299,0.925,1.074,1.275,1.405,1.483,1.555,3.206,6.503,0.770
45,30.800,1.247,0.901,1.048,1.227,1.446,1.509,1.586,1.640,1.821,0.802
50,38.800,1.244,0.866,1.064,1.257,1.386,1.470,1.510,1.684,3.112,0.804
55,21.800,1.307,0.919,1.068,1.260,1.413,1.530,1.608,2.930,4.781,0.765
