Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1377.600,11.626,0.636,5.061,8.474,12.335,23.624,30.762,67.797,167.705,0.086
5,1459.000,11.850,0.554,5.030,7.438,10.305,13.490,16.531,26.168,1027.229,0.084
10,912.800,16.078,0.546,4.521,6.754,9.650,13.567,17.534,416.045,928.932,0.062
15,708.000,23.100,0.559,4.444,6.989,9.955,14.329,20.872,533.176,637.080,0.043
20,715.600,24.099,0.523,4.546,7.403,10.142,14.740,21.863,424.558,829.362,0.041
25,1020.800,15.066,0.578,4.454,7.091,10.054,14.198,18.229,62.543,1127.640,0.066
30,867.000,17.303,0.504,4.338,6.541,9.280,12.993,16.529,816.462,926.407,0.058
35,659.800,24.252,0.526,4.367,6.843,10.062,14.712,20.442,635.935,1068.543,0.041
40,881.400,18.138,0.465,4.510,7.291,9.880,13.257,16.854,715.678,1648.736,0.055
45,753.600,22.721,0.572,4.522,7.295,10.038,13.797,17.854,725.373,1029.580,0.044
50,921.200,16.140,0.545,4.414,6.958,9.702,13.868,17.155,617.921,927.922,0.062
55,714.400,19.158,0.529,4.440,7.160,9.746,13.297,15.822,619.613,1030.772,0.052
