Function	Sample Rate(%)	Diff From Mean	Change
dispatch_sql_command	68.95	17.64	1
dispatch_command	79.02	12.35599999999998	1
ib_log_writer	0.73	11.658000000000001	0
log_writer	0.7	11.436	0
mysql_execute_command	51.57	10.805999999999997	1
THD::send_statement_status	0.65	9.942	0
net_write_packet	0.17	9.922	0
net_flush	0.22	9.899999999999999	0
start_thread	85.36	8.840000000000003	1
do_command	84.98	8.620000000000005	1
Sql_cmd_dml::execute	44.25	7.995999999999995	1
Protocol_classic::send_eof	0.36	6.893999999999999	0
my_net_read	3.59	4.996	0
net_rx_action	0.01	4.702	0
process_backlog	0.0	4.450000000000001	0
Protocol_classic::get_command	4.49	4.295999999999999	0
do_softirq	0.65	4.274	0
ip_local_deliver_finish	0.0	4.004	0
tcp_v4_rcv	0.0	3.868	0
tcp_v4_do_rcv	0.0	3.2299999999999995	0
tcp_rcv_established	0.0	3.216	0
parse_sql	11.63	3.184000000000001	1
Protocol_classic::send_ok	0.28	3.0460000000000003	0
ha_innobase::multi_range_read_info_const	0.01	2.9440000000000004	0
Sql_cmd_dml::prepare	10.67	2.6580000000000013	1
THD::sql_parser	10.48	2.3179999999999996	1
Sql_cmd_dml::execute_inner	18.52	2.16	0
try_to_wake_up	0.09	2.088	0
_int_malloc	2.39	2.064	1
schedule	2.25	1.92	0
buf_page_get_gen	2.53	1.916	0
__schedule	2.24	1.8840000000000003	0
ha_commit_trans	3.33	1.8800000000000001	1
schedule_hrtimeout_range	1.71	1.71	1
buf_page_make_young	0.34	1.5759999999999998	0
Query_expression::optimize	18.3	1.5380000000000003	1
open_tables_for_query	5.3	1.468	1
sock_def_readable	0.38	1.4420000000000006	0
vio_read	2.94	1.4280000000000004	0
open_tables	5.08	1.416	1
ppoll	2.79	1.4020000000000001	0
_raw_spin_unlock_irqrestore	1.45	1.378	1
MYSQLparse	6.69	1.218	1
Query_block::optimize	17.14	1.1940000000000026	1
do_sys_poll	2.16	1.186	0
btr_cur_search_to_nth_level	6.53	1.162	0
unix_stream_sendmsg	1.15	1.15	1
trans_commit	2.18	1.1260000000000001	1
JOIN::optimize	16.75	1.1219999999999999	1
open_table	3.39	1.1060000000000003	1
schedule_hrtimeout_range_clock	1.7	1.09	0
__wake_up_sync_key	0.66	1.0779999999999998	0
Sql_cmd_insert_values::execute_inner	3.04	1.048	1
buf_page_init_for_read	0.09	1.028	0
ib_log_flush	0.45	1.0279999999999998	0
Session_sysvars_tracker::mark_as_changed	1.4	1.0259999999999998	1
log_flusher	0.44	1.0000000000000002	0
trans_commit_stmt	1.54	0.9580000000000001	1
buf_read_page_low	0.38	0.9580000000000001	0
pfs_end_statement_vc	3.25	0.9579999999999997	1
write_record	2.83	0.956	1
binlog_log_row	0.88	0.88	1
lock_tables	1.98	0.8480000000000001	1
pfs_digest_end_vc	0.89	0.8300000000000001	1
read_const	4.2	0.8179999999999996	0
lex_start	1.18	0.7999999999999999	1
malloc_consolidate	0.79	0.766	1
buf_read_page	0.34	0.762	0
Query_expression::ExecuteIteratorQuery	4.3	0.7539999999999996	1
alloc_query	0.9	0.74	1
unix_stream_recvmsg	0.74	0.74	1
PT_select_stmt::make_cmd	2.57	0.7399999999999998	1
join_read_const_table	4.38	0.7359999999999998	0
lf_hash_search	2.31	0.72	1
__libc_recv	2.54	0.6980000000000004	0
os_file_flush_func	0.01	0.68	0
find_or_create_digest	2.24	0.6700000000000004	1
ha_innobase::index_read	6.22	0.6580000000000004	0
row_search_mvcc	5.66	0.6519999999999992	0
JOIN::extract_func_dependent_tables	4.93	0.6500000000000004	0
__do_softirq	0.65	0.65	1
unix_stream_read_generic	0.65	0.65	1
PT_query_expression::contextualize	2.27	0.6300000000000001	1
do_futex	0.97	0.6280000000000001	0
THD::cleanup_after_query	0.84	0.6100000000000001	1
Buf_fetch_normal::get	1.18	0.6020000000000001	0
__irqentry_text_start	0.59	0.59	1
futex_wait	0.79	0.5740000000000001	0
handler::ha_index_read_map	6.57	0.5640000000000001	0
pthread_cond_timedwait@@GLIBC_2.3.2	0.59	0.5379999999999999	1
mysql_lock_tables	1.52	0.536	1
__vdso_gettimeofday	0.58	0.5299999999999999	1
Sql_cmd_update::update_single_table	3.1	0.5	1
PT_query_specification::contextualize	1.83	0.5	1
consume_skb	0.5	0.5	1
sock_recvmsg	0.78	0.492	0
os_event::wait_time_low	0.62	0.478	1
Query_block::prepare	2.83	0.4740000000000002	1
Sql_cmd_select::prepare_inner	3.04	0.46199999999999974	1
trx_commit_complete_for_mysql	0.0	0.4519999999999999	0
_int_free	0.68	0.4480000000000002	1
MDL_context::acquire_lock	1.34	0.4460000000000002	1
