Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,76.01,76.87,76.52
do_command,75.87,76.7,76.36
dispatch_command,66.15,67.23,66.66400000000002
dispatch_sql_command,50.97,51.68,51.31
mysql_execute_command,40.37,41.04,40.763999999999996
Sql_cmd_dml::execute,35.88,36.52,36.254000000000005
Sql_cmd_dml::execute_inner,20.46,20.83,20.68
entry_SYSCALL_64_after_hwframe,19.34,19.55,19.428
do_syscall_64,18.56,18.73,18.64
Query_expression::optimize,16.56,16.96,16.762
[libstdc++.so.6.0.29],15.64,16.52,16.156
Query_block::optimize,15.62,16.18,15.945999999999998
JOIN::optimize,15.32,15.86,15.628
ib_log_writer,12.15,12.7,12.388000000000002
log_writer,11.91,12.45,12.136
JOIN::make_join_plan,11.69,12.09,11.966
THD::send_statement_status,10.36,10.75,10.592
net_flush,9.91,10.26,10.12
net_write_packet,9.87,10.24,10.092
__send,9.72,10.07,9.922
Protocol_classic::get_command,8.51,8.96,8.786
__x64_sys_sendto,8.56,8.8,8.714
__sys_sendto,8.54,8.79,8.693999999999999
my_net_read,8.29,8.79,8.586
parse_sql,8.35,8.61,8.446
tcp_sendmsg,8.24,8.49,8.4
tcp_sendmsg_locked,8.14,8.39,8.288
THD::sql_parser,8.05,8.32,8.162
Sql_cmd_dml::prepare,7.92,8.1,8.011999999999999
btr_cur_search_to_nth_level,7.56,7.8,7.692
Protocol_classic::send_eof,7.03,7.39,7.2540000000000004
__tcp_push_pending_frames,7.1,7.27,7.196000000000001
tcp_write_xmit,7.08,7.26,7.175999999999999
handler::ha_index_read_map,6.98,7.23,7.134
ha_innobase::index_read,6.74,6.99,6.878
__tcp_transmit_skb,6.68,6.85,6.756
__ip_queue_xmit,6.27,6.43,6.328
row_search_mvcc,6.2,6.43,6.311999999999999
ip_finish_output2,5.52,5.67,5.6
JOIN::extract_func_dependent_tables,5.44,5.76,5.58
MYSQLparse,5.39,5.64,5.4719999999999995
handle_softirqs,5.04,5.28,5.1579999999999995
join_read_const_table,4.96,5.28,5.116
read_const,4.88,5.17,5.018
__local_bh_enable_ip,4.87,5.11,4.981999999999999
do_softirq,4.81,5.06,4.9239999999999995
test_quick_select,4.64,4.91,4.795999999999999
net_rx_action,4.63,4.84,4.712
__napi_poll,4.38,4.59,4.462
process_backlog,4.36,4.58,4.450000000000001
buf_page_get_gen,4.3,4.63,4.446
JOIN::estimate_rowcount,4.22,4.49,4.394
vio_read,4.29,4.41,4.368
__netif_receive_skb_one_core,4.27,4.48,4.340000000000001
ppoll,4.14,4.26,4.192
schedule,4.05,4.32,4.17
__schedule,4.01,4.28,4.1240000000000006
ip_local_deliver_finish,3.93,4.12,4.004
ip_protocol_deliver_rcu,3.9,4.1,3.972
tcp_v4_rcv,3.79,4.0,3.868
open_tables_for_query,3.74,3.95,3.832
open_tables,3.54,3.78,3.664
__x64_sys_ppoll,3.53,3.63,3.582
Query_expression::ExecuteIteratorQuery,3.45,3.61,3.5460000000000003
do_sys_poll,3.3,3.43,3.346
Protocol_classic::send_ok,3.3,3.36,3.3259999999999996
get_key_scans_params,3.18,3.35,3.286
__libc_recv,3.09,3.43,3.2380000000000004
tcp_v4_do_rcv,3.18,3.28,3.2299999999999995
tcp_rcv_established,3.17,3.26,3.216
do_poll.constprop.0,3.16,3.28,3.2060000000000004
check_quick_select,2.94,3.12,3.05
ha_innobase::multi_range_read_info_const,2.86,3.03,2.9539999999999997
IndexRangeScanIterator::Read,2.87,2.94,2.912
handler::ha_multi_range_read_next,2.83,2.91,2.88
handler::multi_range_read_info_const,2.77,2.96,2.8739999999999997
handler::multi_range_read_next,2.81,2.88,2.8559999999999994
schedule_hrtimeout_range_clock,2.75,2.84,2.79
ha_innobase::read_range_first,2.64,2.73,2.696
ha_innobase::records_in_range,2.58,2.75,2.684
handler::read_range_first,2.59,2.69,2.658
Sql_cmd_update::update_single_table,2.46,2.75,2.6
Sql_cmd_select::prepare_inner,2.49,2.75,2.5780000000000003
Query_block::prepare,2.25,2.51,2.356
pfs_end_statement_vc,2.28,2.31,2.2920000000000003
open_table,2.17,2.37,2.284
pick_next_task,2.17,2.35,2.254
try_to_wake_up,2.12,2.25,2.178
pick_next_task_fair,2.02,2.18,2.104
Sql_cmd_insert_values::execute_inner,1.88,2.08,1.9920000000000002
MYSQLlex,1.81,2.03,1.94
__futex_abstimed_wait_common,1.85,2.01,1.922
buf_page_make_young,1.75,2.15,1.916
handler::ha_write_row,1.78,1.96,1.89
write_record,1.77,1.95,1.8739999999999999
sched_balance_newidle,1.8,1.92,1.862
ha_innobase::write_row,1.73,1.91,1.8399999999999999
PT_select_stmt::make_cmd,1.81,1.86,1.83
sock_def_readable,1.8,1.84,1.8220000000000003
Buf_fetch_normal::get,1.73,1.89,1.782
row_ins_step,1.63,1.83,1.7439999999999998
__wake_up_sync_key,1.71,1.76,1.738
__wake_up_common,1.68,1.76,1.72
__x64_sys_futex,1.61,1.73,1.666
PT_query_expression::contextualize,1.61,1.66,1.64
do_futex,1.54,1.67,1.598
lf_hash_search,1.54,1.65,1.5899999999999999
find_or_create_digest,1.52,1.64,1.5699999999999998
__x64_sys_recvfrom,1.45,1.63,1.532
[libcrypto.so.3.5.1],1.44,1.62,1.528
__sys_recvfrom,1.41,1.6,1.498
ib_log_flush,1.24,1.63,1.4779999999999998
optimize_cond,1.39,1.52,1.472
ha_commit_trans,1.4,1.48,1.45
asm_sysvec_apic_timer_interrupt,1.39,1.51,1.442
log_flusher,1.2,1.59,1.4400000000000002
sched_balance_rq,1.33,1.41,1.3679999999999999
futex_wait,1.31,1.45,1.364
page_cur_search_with_match_bytes,1.3,1.41,1.3519999999999999
buf_read_page_low,1.27,1.42,1.3379999999999999
PT_query_specification::contextualize,1.32,1.34,1.33
__futex_wait,1.26,1.4,1.306
Query_block::setup_conds,1.19,1.36,1.294
sysvec_apic_timer_interrupt,1.21,1.33,1.272
sock_recvmsg,1.21,1.36,1.272
FilterIterator::Read,1.21,1.29,1.254
log_advance_ready_for_write_lsn,1.17,1.31,1.254
SortingIterator::Init,1.2,1.28,1.25
SortingIterator::DoSort,1.19,1.27,1.2399999999999998
futex_wait_queue,1.14,1.27,1.182
filesort,1.12,1.21,1.174
inet_recvmsg,1.09,1.24,1.162
TC_LOG_DUMMY::commit,1.09,1.22,1.158
Item_func::fix_fields,1.05,1.21,1.14
lock_tables,1.1,1.17,1.1320000000000001
tcp_recvmsg,1.05,1.19,1.1260000000000001
buf_page_init_for_read,1.02,1.2,1.1179999999999999
syscall_exit_to_user_mode,1.09,1.14,1.1139999999999999
buf_read_page,1.04,1.2,1.1019999999999999
select_task_rq,1.03,1.17,1.1019999999999999
Sql_cmd_delete::delete_from_single_table,1.07,1.15,1.092
select_task_rq_fair,1.0,1.13,1.07
trans_commit,1.03,1.08,1.054
ha_commit_low,0.99,1.1,1.052
rec_get_offsets,1.03,1.07,1.046
sched_balance_find_src_group,1.01,1.06,1.034
Item_field::fix_fields,0.96,1.09,1.034
get_mm_tree,0.95,1.07,1.028
update_sd_lb_stats.constprop.0,0.98,1.02,0.998
row_ins_clust_index_entry,0.95,1.05,0.994
mysql_lock_tables,0.95,1.03,0.984
row_ins_clust_index_entry_low,0.94,1.03,0.9759999999999998
setup_fields,0.94,1.04,0.9739999999999999
close_thread_tables,0.94,1.03,0.966
tcp_recvmsg_locked,0.89,1.0,0.9559999999999998
exit_to_user_mode_prepare,0.92,0.99,0.954
tcp_ack,0.91,0.98,0.952
__sysvec_apic_timer_interrupt,0.9,0.98,0.9460000000000001
syscall_return_via_sysret,0.92,0.96,0.9339999999999999
dequeue_task_fair,0.9,0.96,0.93
page_cur_search_with_match,0.88,0.95,0.9200000000000002
hrtimer_interrupt,0.86,0.94,0.908
select_idle_sibling,0.84,0.93,0.8960000000000001
MDL_context::acquire_lock,0.85,0.96,0.8939999999999999
build_equal_items,0.86,0.91,0.882
Query_result_send::send_result_set_metadata,0.84,0.98,0.8779999999999999
row_ins_sec_index_entry,0.83,0.9,0.876
row_ins_sec_index_entry_low,0.82,0.89,0.8640000000000001
srv_worker_thread,0.75,0.91,0.8379999999999999
btr_cur_optimistic_insert,0.77,0.91,0.8300000000000001
entry_SYSRETQ_unsafe_stack,0.76,0.94,0.828
update_sg_lb_stats,0.77,0.87,0.8140000000000001
__memmove_evex_unaligned_erms,0.77,0.89,0.8140000000000001
__hrtimer_run_queues,0.76,0.82,0.792
dequeue_entity,0.76,0.82,0.788
THD::send_result_metadata,0.68,0.82,0.734
ha_innobase::extra,0.68,0.75,0.72
fil_aio_wait,0.68,0.72,0.6980000000000001
select_idle_cpu,0.64,0.73,0.692
os_file_flush_func,0.66,0.73,0.6900000000000001
fsync,0.65,0.72,0.6799999999999999
handler::ha_index_init,0.64,0.7,0.674
ha_innobase::update_thd,0.65,0.69,0.6699999999999999
malloc,0.63,0.7,0.6679999999999999
MDL_context::try_acquire_lock_impl,0.62,0.71,0.666
__x64_sys_fsync,0.63,0.69,0.6579999999999999
ovl_fsync,0.62,0.68,0.652
tcp_clean_rtx_queue.constprop.0,0.61,0.66,0.6380000000000001
xfs_file_fsync,0.6,0.67,0.638
buf_page_io_complete,0.61,0.67,0.6359999999999999
exit_to_user_mode_loop,0.57,0.67,0.632
PT_table_factor_table_ident::contextualize,0.6,0.65,0.626
ha_innobase::change_active_index,0.58,0.65,0.616
JOIN::init_planner_arrays,0.59,0.65,0.614
update_load_avg,0.56,0.64,0.6
ib_log_fl_notif,0.57,0.61,0.5879999999999999
trans_commit_stmt,0.56,0.61,0.582
cmp_dtuple_rec_with_match_low,0.56,0.6,0.572
ib_pg_flush_co,0.56,0.59,0.5700000000000001
ib_log_wr_notif,0.54,0.58,0.562
__libc_pwrite,0.51,0.57,0.5499999999999999
srv_purge_coordinator_thread,0.52,0.59,0.546
ha_innobase::info_low,0.52,0.57,0.542
find_field_in_tables,0.5,0.57,0.536
__dev_queue_xmit,0.49,0.57,0.534
Sql_cmd_update::prepare_inner,0.46,0.56,0.516
ttwu_do_activate,0.47,0.54,0.5039999999999999
enqueue_task,0.48,0.52,0.5
ovl_write_iter,0.47,0.52,0.49800000000000005
JOIN::make_tmp_tables_info,0.46,0.56,0.49399999999999994
enqueue_task_fair,0.47,0.5,0.488
handler::ha_external_lock,0.47,0.51,0.48599999999999993
CreateIteratorFromAccessPath,0.43,0.55,0.4779999999999999
buf_flush_page,0.43,0.51,0.472
Table_ref::fetch_number_of_rows,0.45,0.49,0.472
buf_flush_do_batch,0.46,0.49,0.472
__x64_sys_pwrite64,0.44,0.48,0.466
sk_stream_alloc_skb,0.42,0.48,0.45999999999999996
vfs_write,0.43,0.48,0.454
trx_commit_complete_for_mysql,0.41,0.49,0.45199999999999996
update_curr,0.43,0.47,0.45199999999999996
Lex_hash::get_hash_symbol,0.42,0.49,0.45
close_thread_table,0.43,0.46,0.44800000000000006
que_run_threads,0.42,0.47,0.44399999999999995
row_purge_step,0.41,0.46,0.44000000000000006
do_iter_readv_writev,0.38,0.48,0.44000000000000006
file_write_and_wait_range,0.41,0.48,0.43999999999999995
IndexRangeScanIterator::Init,0.4,0.46,0.438
Item_func::fix_func_arg,0.38,0.47,0.43
available_idle_cpu,0.41,0.46,0.42800000000000005
xfs_file_buffered_write,0.39,0.46,0.426
lock_table_names,0.37,0.44,0.42000000000000004
finish_task_switch.isra.0,0.4,0.43,0.42000000000000004
Sql_cmd_select::precheck,0.4,0.44,0.418
sched_balance_update_blocked_averages,0.38,0.44,0.41200000000000003
Query_block::cleanup,0.35,0.44,0.39799999999999996
Query_block::add_table_to_list,0.37,0.43,0.396
__memset_evex_unaligned_erms,0.36,0.43,0.396
trx_undo_report_row_operation,0.34,0.43,0.396
ha_innobase::build_template,0.38,0.42,0.396
ha_innobase::external_lock,0.37,0.44,0.394
rec_init_offsets_comp_ordinary,0.37,0.43,0.394
hrtimer_wakeup,0.38,0.4,0.392
IndexRangeScanIterator::shared_reset,0.35,0.42,0.384
do_iter_write,0.34,0.41,0.384
__GI___lll_lock_wake,0.36,0.41,0.38399999999999995
lex_start,0.34,0.4,0.38000000000000006
[[vdso]],0.35,0.44,0.376
skb_copy_datagram_iter,0.35,0.41,0.374
Session_sysvars_tracker::mark_as_changed,0.34,0.41,0.374
create_ref_for_key,0.35,0.39,0.37
__skb_datagram_iter,0.34,0.4,0.36400000000000005
__strcmp_evex,0.33,0.39,0.362
find_field_in_table_ref,0.34,0.4,0.362
pfs_start_stage_v1,0.31,0.41,0.362
buf_LRU_get_free_block,0.31,0.44,0.36
JOIN::create_intermediate_table,0.34,0.4,0.358
page_rec_get_n_recs_before,0.33,0.37,0.358
pthread_mutex_lock@@GLIBC_2.2.5,0.31,0.37,0.34800000000000003
PTI_context::itemize,0.31,0.38,0.346
JOIN::join_free,0.32,0.38,0.344
InitIndexRangeScan,0.31,0.37,0.34199999999999997
Optimize_table_order::choose_table_order,0.31,0.36,0.34
JOIN::create_access_paths,0.29,0.37,0.336
trx_undo_assign_undo,0.29,0.37,0.332
__filemap_fdatawrite_range,0.31,0.35,0.332
filemap_fdatawrite_wbc,0.31,0.35,0.332
syscall,0.3,0.37,0.33
hrtimer_start_range_ns,0.31,0.34,0.328
mtr_t::commit,0.31,0.35,0.328
_int_malloc,0.3,0.34,0.326
do_writepages,0.3,0.35,0.324
__update_blocked_fair,0.29,0.34,0.32
xfs_vm_writepages,0.3,0.34,0.32
iomap_file_buffered_write,0.3,0.34,0.318
clock_gettime@@GLIBC_2.17,0.31,0.33,0.318
dev_hard_start_xmit,0.28,0.34,0.316
trx_commit_for_mysql,0.29,0.33,0.314
cmp_dtuple_rec_with_match_bytes,0.27,0.35,0.31200000000000006
nf_hook_slow,0.29,0.33,0.312
Protocol_classic::send_field_metadata,0.28,0.36,0.308
_raw_spin_lock,0.28,0.35,0.308
fold_condition,0.27,0.35,0.308
PT_select_item_list::contextualize,0.29,0.33,0.308
AggregateIterator::Read,0.29,0.32,0.304
__irq_exit_rcu,0.29,0.32,0.304
Protocol_classic::parse_packet,0.27,0.34,0.302
JOIN::create_root_access_path_for_join,0.25,0.34,0.30000000000000004
btr_cur_pessimistic_insert,0.26,0.34,0.30000000000000004
trx_commit,0.28,0.31,0.298
check_table_access,0.29,0.3,0.298
tick_nohz_highres_handler,0.25,0.32,0.29400000000000004
create_tmp_table,0.26,0.32,0.29200000000000004
PT_update::make_cmd,0.26,0.31,0.29000000000000004
__fget_light,0.26,0.32,0.28800000000000003
check_trx_exists,0.26,0.33,0.28600000000000003
loopback_xmit,0.25,0.31,0.28600000000000003
ib_srv_purge,0.27,0.3,0.28600000000000003
MEM_ROOT::AllocSlow,0.25,0.31,0.28400000000000003
trx_commit_low,0.26,0.3,0.284
__alloc_skb,0.26,0.31,0.28
add_key_fields,0.26,0.31,0.28
Fil_shard::space_flush,0.25,0.32,0.27999999999999997
_raw_spin_lock_irqsave,0.24,0.31,0.27799999999999997
sk_filter_trim_cap,0.24,0.33,0.272
JOIN::destroy,0.24,0.32,0.272
ip_output,0.25,0.29,0.27
tick_sched_handle,0.24,0.3,0.27
update_process_times,0.24,0.29,0.266
pfs_start_statement_vc,0.25,0.29,0.264
prepare_task_switch,0.23,0.3,0.262
Optimize_table_order::greedy_search,0.22,0.28,0.252
enqueue_entity,0.24,0.26,0.252
__hrtimer_start_range_ns,0.22,0.28,0.252
__GI___pthread_mutex_unlock_usercnt,0.23,0.26,0.25
Item_func_between::fix_fields,0.22,0.27,0.248
sockfd_lookup_light,0.23,0.27,0.246
init_ref_part,0.22,0.26,0.24
MEM_ROOT::AllocBlock,0.22,0.26,0.24
__perf_event_task_sched_out,0.21,0.27,0.236
Double_write::write_complete,0.21,0.27,0.236
Fil_shard::flush_file_spaces,0.21,0.27,0.236
__submit_bio_noacct,0.23,0.25,0.23399999999999999
dblwr::write,0.2,0.25,0.23399999999999999
_int_free,0.2,0.27,0.23199999999999998
THD::cleanup_after_query,0.2,0.25,0.22999999999999998
iomap_write_iter,0.21,0.24,0.22799999999999998
__strlen_evex,0.2,0.25,0.22799999999999998
__perf_event_task_sched_in,0.22,0.23,0.22600000000000003
__submit_bio,0.22,0.24,0.22599999999999998
skb_release_data,0.22,0.23,0.22400000000000003
enqueue_hrtimer,0.2,0.25,0.22199999999999998
Optimize_table_order::best_extension_by_limited_search,0.19,0.24,0.22000000000000003
fpregs_restore_userregs,0.18,0.26,0.22000000000000003
futex_wake,0.21,0.24,0.22000000000000003
buf_flush_single_page_from_LRU,0.19,0.24,0.21800000000000003
selinux_ip_postroute,0.21,0.23,0.21800000000000003
PTI_expr_with_alias::itemize,0.19,0.26,0.21800000000000003
check_access,0.19,0.24,0.21599999999999997
perf_event_context_sched_out,0.19,0.25,0.21400000000000002
security_sock_rcv_skb,0.18,0.26,0.21400000000000002
ConnectJoins,0.18,0.24,0.21400000000000002
timerqueue_add,0.19,0.24,0.21200000000000002
cfree@GLIBC_2.2.5,0.2,0.22,0.21200000000000002
__memcmp_evex_movbe,0.19,0.23,0.21000000000000002
LEX::new_query,0.18,0.25,0.20999999999999996
Double_write::sync_page_flush,0.18,0.23,0.20800000000000002
PTI_simple_ident_ident::itemize,0.19,0.23,0.20600000000000002
__check_object_size.part.0,0.19,0.22,0.20600000000000002
sock_poll,0.19,0.22,0.20400000000000001
row_upd_step,0.18,0.22,0.20400000000000001
dict_index_copy_types,0.17,0.23,0.202
rcu_core,0.18,0.22,0.202
MDL_ticket_store::find_in_lists,0.16,0.24,0.198
ha_innobase::store_lock,0.18,0.23,0.198
PTI_comp_op::itemize,0.17,0.22,0.19600000000000004
