Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,73.4,74.97,74.16999999999999
do_command,73.21,74.81,73.998
dispatch_command,71.38,72.82,72.02199999999999
dispatch_sql_command,66.34,67.83,66.998
mysql_execute_command,47.86,49.15,48.584
Sql_cmd_dml::execute,44.07,45.16,44.678
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",20.54,24.15,22.762
parse_sql,14.86,15.25,15.038
THD::sql_parser,14.02,14.46,14.222
system_call_fastpath,12.44,12.87,12.559999999999999
Sql_cmd_update::update_single_table,11.84,12.46,12.248
Sql_cmd_dml::execute_inner,10.56,10.92,10.776
MYSQLparse,10.55,10.86,10.746
Query_expression::optimize,10.45,10.74,10.645999999999999
btr_cur_search_to_nth_level,10.16,10.69,10.536
Query_block::optimize,10.09,10.36,10.225999999999999
JOIN::optimize,9.81,10.06,9.932
Sql_cmd_dml::prepare,8.4,8.83,8.639999999999999
ib_log_writer,5.97,7.73,7.0920000000000005
Sql_cmd_insert_values::execute_inner,6.78,7.24,7.066000000000001
__libc_send,6.88,7.25,7.0200000000000005
JOIN::make_join_plan,6.71,6.98,6.858
write_record,6.35,6.82,6.640000000000001
handler::ha_write_row,6.32,6.79,6.614
ha_innobase::write_row,6.28,6.75,6.578
log_writer,5.52,7.18,6.55
row_ins_step,6.15,6.63,6.446
sys_sendto,6.26,6.64,6.388
SYSC_sendto,6.25,6.61,6.36
sock_sendmsg,6.1,6.43,6.2
inet_sendmsg,6.04,6.39,6.151999999999999
tcp_sendmsg,5.89,6.24,6.008
row_search_mvcc,5.91,6.19,6.000000000000001
handler::ha_index_read_map,5.79,5.98,5.884
ha_innobase::index_read,5.52,5.7,5.63
tcp_push,5.21,5.61,5.364
__tcp_push_pending_frames,5.18,5.6,5.345999999999999
tcp_write_xmit,5.15,5.55,5.304
tcp_transmit_skb,4.87,5.21,5.004
test_quick_select,4.72,5.02,4.946
ip_queue_xmit,4.53,4.85,4.67
ip_local_out_sk,4.41,4.77,4.566
ip_output,4.37,4.73,4.536
ip_finish_output,4.32,4.66,4.468
JOIN::extract_func_dependent_tables,4.26,4.4,4.322
do_softirq,4.04,4.36,4.204
row_ins_sec_index_entry,3.93,4.35,4.144
call_softirq,3.96,4.29,4.136
__do_softirq,3.95,4.27,4.116
local_bh_enable,3.8,4.18,3.97
__local_bh_enable_ip,3.79,4.16,3.9620000000000006
join_read_const_table,3.84,3.96,3.914
_raw_spin_unlock_irqrestore,3.73,3.91,3.804
get_key_scans_params,3.66,3.86,3.782
net_rx_action,3.53,3.88,3.694
MYSQLlex,3.47,3.81,3.65
process_backlog,3.47,3.79,3.6059999999999994
Query_expression::execute,3.52,3.72,3.6059999999999994
check_quick_select,3.45,3.65,3.5840000000000005
row_ins_sec_index_entry_low,3.4,3.72,3.5559999999999996
open_tables_for_query,3.45,3.72,3.5520000000000005
read_const,3.5,3.64,3.536
__netif_receive_skb,3.38,3.68,3.508
__netif_receive_skb_core,3.35,3.65,3.47
Query_expression::ExecuteIteratorQuery,3.37,3.58,3.4620000000000006
DsMrr_impl::dsmrr_info_const,3.31,3.53,3.4599999999999995
handler::multi_range_read_info_const,3.28,3.47,3.404000000000001
ip_rcv,3.24,3.55,3.364
open_tables,3.24,3.53,3.354
ip_rcv_finish,3.1,3.46,3.2459999999999996
ip_local_deliver,3.09,3.43,3.2199999999999998
ip_local_deliver_finish,3.03,3.38,3.1739999999999995
handler::ha_update_row,3.06,3.23,3.162
ha_innobase::records_in_range,3.0,3.19,3.1239999999999997
ha_innobase::update_row,2.99,3.18,3.102
tcp_v4_rcv,2.92,3.28,3.082
LEX::make_sql_cmd,2.92,3.1,3.024
[libpthread-2.17.so],2.8,2.99,2.918
Detached_thread::operator,2.73,3.04,2.896
buf_page_get_gen,2.82,2.91,2.8579999999999997
tcp_prequeue,2.66,2.98,2.8
IndexRangeScanIterator::Read,2.74,2.88,2.798
handler::ha_multi_range_read_next,2.71,2.84,2.7660000000000005
handler::multi_range_read_next,2.68,2.81,2.742
__wake_up_common_lock,2.61,2.88,2.722
row_upd_step,2.64,2.74,2.6740000000000004
ibuf_insert,2.38,2.67,2.556
__wake_up_sync_key,2.4,2.71,2.534
Buf_fetch<Buf_fetch_normal>::single_page,2.36,2.48,2.402
Sql_cmd_select::prepare_inner,2.23,2.48,2.3899999999999997
Query_block::prepare,2.11,2.38,2.268
row_ins_clust_index_entry,2.14,2.26,2.204
buf_flush_do_batch,2.1,2.2,2.1580000000000004
rec_get_offsets,2.01,2.22,2.116
buf_flush_page,2.04,2.16,2.104
pfs_end_statement_vc,1.98,2.09,2.024
dblwr::write,1.94,2.05,1.9959999999999998
Double_write::enqueue,1.88,1.99,1.9280000000000002
PT_select_stmt::make_cmd,1.82,1.97,1.916
ha_innobase::read_range_first,1.86,1.92,1.886
handler::read_range_first,1.84,1.91,1.8679999999999999
__memcpy_ssse3_back,1.72,1.84,1.8020000000000003
ext4_file_write,1.71,1.76,1.734
open_table,1.63,1.78,1.7099999999999997
setup_fields,1.64,1.77,1.7079999999999997
optimize_cond,1.62,1.73,1.6920000000000002
PT_query_expression::contextualize,1.62,1.74,1.6919999999999997
generic_file_aio_write,1.67,1.71,1.688
Item_field::fix_fields,1.5,1.7,1.626
log_advance_ready_for_write_lsn,1.3,1.73,1.5779999999999998
Protocol_classic::get_command,1.5,1.63,1.576
__generic_file_aio_write,1.52,1.55,1.536
my_net_read,1.45,1.57,1.522
row_ins_clust_index_entry_low,1.42,1.57,1.5
page_cur_search_with_match,1.43,1.59,1.496
PT_query_specification::contextualize,1.42,1.56,1.494
fil_aio_wait,1.4,1.49,1.436
Sql_cmd_update::prepare_inner,1.39,1.47,1.432
os_file_write_func,1.33,1.47,1.422
Buf_fetch_normal::get,1.36,1.45,1.4100000000000001
find_or_create_digest,1.33,1.47,1.4060000000000001
page_cur_search_with_match_bytes,1.32,1.5,1.4
fil_io,1.33,1.42,1.3800000000000001
Fil_shard::do_io,1.31,1.4,1.3599999999999999
lf_hash_search,1.29,1.42,1.356
Query_block::setup_conds,1.33,1.36,1.346
buf_page_io_complete,1.24,1.36,1.3060000000000003
AggregateIterator::Read,1.26,1.35,1.3
generic_file_buffered_write,1.27,1.33,1.294
ha_commit_trans,1.21,1.36,1.27
Item_func::fix_fields,1.25,1.28,1.2600000000000002
vio_read,1.15,1.29,1.2419999999999998
get_mm_tree,1.1,1.35,1.234
vio_socket_io_wait,1.13,1.27,1.2239999999999998
Double_write::write_data_pages,1.16,1.25,1.21
Double_write::write_to_datafile,1.15,1.23,1.1999999999999997
sys_fsync,1.1,1.27,1.182
do_fsync,1.1,1.27,1.1780000000000002
sys_futex,1.09,1.24,1.168
ext4_sync_file,1.09,1.26,1.166
btr_search_guess_on_hash,1.05,1.26,1.158
ppoll,1.07,1.18,1.154
row_ins_check_foreign_constraint,1.09,1.21,1.144
do_futex,1.07,1.21,1.142
ha_innobase::general_fetch,1.03,1.23,1.136
JOIN::estimate_rowcount,1.05,1.18,1.124
cmp_dtuple_rec_with_match_low,1.07,1.21,1.122
sys_pwrite64,1.1,1.18,1.122
lock_tables,1.04,1.22,1.122
btr_cur_optimistic_update,1.09,1.15,1.116
rec_init_offsets_comp_ordinary,1.01,1.21,1.1019999999999999
filemap_write_and_wait_range,1.01,1.2,1.09
os_aio_func,1.03,1.11,1.08
vfs_write,1.05,1.14,1.078
_int_malloc,1.02,1.18,1.072
find_field_in_tables,0.95,1.12,1.05
Lex_hash::get_hash_symbol,0.99,1.12,1.05
NestedLoopIterator::Read,0.98,1.1,1.0379999999999998
FilterIterator::Read,0.97,1.09,1.032
do_sync_write,1.0,1.07,1.0219999999999998
__filemap_fdatawrite_range,0.96,1.12,1.018
lex_start,0.97,1.05,1.018
do_writepages,0.96,1.12,1.014
Log_file_handle::write,0.88,1.08,1.01
MDL_context::acquire_lock,0.95,1.07,1.002
sys_ppoll,0.93,1.02,0.998
ext4_writepages,0.94,1.11,0.998
Double_write::write_complete,0.95,1.04,0.9959999999999999
io_submit,0.94,1.01,0.9719999999999999
TC_LOG_DUMMY::commit,0.9,1.05,0.9560000000000001
trx_undo_report_row_operation,0.91,0.99,0.9460000000000001
Item_cond::fix_fields,0.91,0.97,0.942
sys_io_submit,0.9,0.99,0.9400000000000001
mysql_lock_tables,0.84,1.01,0.9299999999999999
trx_coordinator::commit_in_engines,0.88,1.03,0.9299999999999999
lock_clust_rec_read_check_and_lock,0.85,0.99,0.9259999999999999
do_io_submit,0.89,0.98,0.9259999999999999
btr_cur_optimistic_insert,0.86,0.92,0.9
handler::ha_index_next_same,0.78,1.0,0.89
THD::cleanup_after_query,0.85,0.91,0.8880000000000001
build_equal_items,0.84,0.94,0.884
Fil_system::flush_file_spaces,0.83,0.95,0.876
Fil_shard::flush_file_spaces,0.82,0.95,0.8739999999999999
fill_record_n_invoke_before_triggers,0.78,0.93,0.8540000000000001
malloc,0.82,0.86,0.844
__schedule,0.8,0.93,0.844
Fil_shard::space_flush,0.79,0.92,0.844
Query_result_send::send_result_set_metadata,0.8,0.94,0.844
ha_commit_low,0.76,0.94,0.842
__libc_recv,0.78,0.91,0.8379999999999999
ha_innobase::read_range_next,0.72,0.9,0.8240000000000001
find_field_in_table_ref,0.72,0.87,0.8240000000000001
mtr_t::commit,0.81,0.83,0.8219999999999998
MDL_context::try_acquire_lock_impl,0.79,0.89,0.8219999999999998
srv_purge_coordinator_thread,0.6,1.13,0.8200000000000001
schedule,0.77,0.87,0.812
Buf_fetch<Buf_fetch_normal>::lookup,0.75,0.85,0.812
do_sys_poll,0.73,0.87,0.8119999999999999
trans_commit_stmt,0.76,0.87,0.8100000000000002
PT_update::make_cmd,0.77,0.83,0.7940000000000002
finish_task_switch,0.75,0.85,0.784
fill_record,0.71,0.84,0.78
page_cur_insert_rec_low,0.72,0.85,0.776
_int_free,0.74,0.81,0.774
Item::save_in_field,0.72,0.83,0.772
handler::ha_index_init,0.67,0.79,0.756
btr_pcur_t::restore_position,0.61,0.81,0.744
THD::send_result_metadata,0.71,0.81,0.744
btr_cur_update_in_place,0.68,0.77,0.732
close_thread_tables,0.71,0.75,0.73
RefIterator<false>::Read,0.67,0.76,0.728
ha_innobase::build_template,0.62,0.78,0.716
row_sel_store_mysql_rec,0.67,0.73,0.6980000000000001
ha_innobase::change_active_index,0.61,0.73,0.6839999999999999
mutex_enter_inline<PolicyMutex<TTASEventMutex<GenericPolicy> > >,0.62,0.76,0.68
EQRefIterator::Read,0.62,0.73,0.678
Double_write::write_pages,0.63,0.73,0.6779999999999999
Double_write::write_dblwr_pages,0.63,0.73,0.6779999999999999
trans_commit,0.62,0.75,0.6740000000000002
btr_page_reorganize_low,0.65,0.68,0.66
"contextualize_array<Parse_context, Mem_root_array_YY<PT_table_reference*> >",0.61,0.68,0.654
pthread_cond_broadcast@@GLIBC_2.3.2,0.62,0.72,0.652
page_copy_rec_list_end_no_locks,0.63,0.67,0.6479999999999999
srv_worker_thread,0.6,0.66,0.64
PT_table_factor_table_ident::contextualize,0.58,0.68,0.6260000000000001
pfs_digest_end_vc,0.54,0.69,0.624
PT_locking::contextualize,0.57,0.67,0.62
os_event::wait_time_low,0.55,0.65,0.6080000000000001
system_call_after_swapgs,0.58,0.6,0.5940000000000001
pthread_cond_timedwait@@GLIBC_2.3.2,0.52,0.63,0.588
ib_log_flush,0.54,0.63,0.584
[libcrypto.so.1.0.2k],0.52,0.68,0.572
mtr_t::Command::execute,0.55,0.58,0.5660000000000001
futex_wait,0.51,0.61,0.566
PTI_context::itemize,0.49,0.6,0.5640000000000001
ib_pg_flush-2,0.54,0.58,0.556
ib_pg_flush-3,0.54,0.57,0.556
PT_select_item_list::contextualize,0.51,0.6,0.554
ib_pg_flush-1,0.53,0.57,0.548
log_flusher,0.5,0.57,0.534
ib_pg_flush_co,0.51,0.54,0.53
futex_wait_queue_me,0.47,0.55,0.508
cmp_data,0.46,0.55,0.504
ut_delay,0.46,0.56,0.502
ib_log_wr_notif,0.45,0.53,0.49800000000000005
init_table_iterator,0.44,0.54,0.49800000000000005
Session_sysvars_tracker::mark_as_changed,0.45,0.55,0.49400000000000005
fold_condition,0.45,0.55,0.49399999999999994
ext4_da_write_begin,0.49,0.5,0.49399999999999994
Item_func::fix_func_arg,0.48,0.51,0.492
futex_requeue,0.46,0.54,0.48600000000000004
