Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,83.65,85.83,85.1022
do_command,83.21,85.48,84.7341
dispatch_command,76.15,79.2,78.1686
dispatch_sql_command,66.12,70.36,68.89349999999999
mysql_execute_command,50.93,56.4,54.55590000000001
Sql_cmd_dml::execute,43.73,49.44,47.55500000000002
Sql_cmd_dml::execute_inner,18.37,20.81,19.982999999999993
Query_expression::optimize,18.14,20.62,19.765500000000003
Query_block::optimize,17.01,19.63,18.689300000000006
JOIN::optimize,16.74,19.31,18.3912
JOIN::make_join_plan,12.34,15.26,14.3718
btr_cur_search_to_nth_level,6.21,13.71,11.6185
parse_sql,9.69,11.09,10.2178
Sql_cmd_dml::prepare,9.46,11.11,10.125000000000002
THD::sql_parser,8.76,10.02,9.239999999999998
handler::ha_index_read_map,6.63,10.24,8.999099999999999
ha_innobase::index_read,6.2,9.89,8.642699999999998
buf_page_get_gen,1.82,10.83,8.371299999999996
system_call_fastpath,7.66,9.46,8.339
row_search_mvcc,5.47,9.22,7.958200000000005
Buf_fetch<Buf_fetch_normal>::single_page,1.54,9.94,7.674699999999997
ut_delay,0.02,10.39,7.510599999999999
test_quick_select,5.21,7.63,6.867200000000002
JOIN::estimate_rowcount,4.65,7.16,6.416699999999999
MYSQLparse,5.4,6.21,5.749799999999997
JOIN::extract_func_dependent_tables,4.74,5.81,5.359100000000001
get_key_scans_params,3.45,5.99,5.221200000000001
Protocol_classic::get_command,4.7,6.12,5.211000000000004
open_tables_for_query,4.76,5.79,5.169499999999999
IndexRangeScanIterator::Read,3.12,6.19,4.9787
check_quick_select,3.13,5.73,4.954500000000002
handler::ha_multi_range_read_next,3.09,6.16,4.9503
open_tables,4.54,5.54,4.934799999999998
handler::multi_range_read_next,3.06,6.12,4.919599999999998
ha_innobase::read_range_first,3.03,6.08,4.885000000000002
join_read_const_table,4.24,5.28,4.854899999999998
handler::read_range_first,3.0,6.05,4.8466000000000005
Sql_cmd_insert_values::execute_inner,2.98,5.94,4.836799999999999
DsMrr_impl::dsmrr_info_const,2.99,5.62,4.8242
handler::multi_range_read_info_const,2.87,5.53,4.7364
read_const,4.11,5.16,4.721499999999999
write_record,2.72,5.69,4.604800000000002
ha_innobase::records_in_range,2.57,5.32,4.4674000000000005
__libc_recv,3.77,5.25,4.328600000000003
Sql_cmd_update::update_single_table,2.91,5.23,4.298
Query_expression::execute,3.65,4.34,3.951699999999999
my_net_read,3.58,4.7,3.9430000000000005
handler::ha_write_row,1.83,4.87,3.8019
ha_innobase::write_row,1.81,4.82,3.7642
Query_expression::ExecuteIteratorQuery,3.38,4.1,3.7156000000000002
row_ins_step,1.65,4.58,3.5582999999999987
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",2.96,3.89,3.4462000000000006
open_table,3.08,3.85,3.3922000000000003
pfs_end_statement_vc,3.07,3.65,3.2908000000000004
ha_commit_trans,2.9,3.47,3.2437000000000014
LEX::make_sql_cmd,2.95,3.48,3.1495000000000006
vio_read,2.72,3.67,3.0611
vio_socket_io_wait,2.65,3.56,2.983200000000001
ppoll,2.56,3.48,2.8918
Sql_cmd_select::prepare_inner,2.66,3.21,2.8406000000000002
Query_block::prepare,2.5,2.99,2.6511999999999993
sys_ppoll,2.36,3.22,2.6457000000000006
PT_select_stmt::make_cmd,2.26,2.62,2.399500000000001
trans_commit,1.97,2.63,2.362
do_sys_poll,2.04,2.86,2.3341000000000003
MYSQL_BIN_LOG::commit,1.96,2.6,2.3134
[libkeyutils.so.1.5],2.31,2.31,2.31
_int_malloc,2.09,2.56,2.2561999999999993
lf_hash_search,2.06,2.51,2.247499999999999
find_or_create_digest,2.07,2.49,2.2260999999999993
__libc_send,2.01,2.43,2.171399999999999
row_ins_clust_index_entry,1.13,2.7,2.1074
PT_query_expression::contextualize,1.95,2.35,2.106299999999999
schedule,1.81,2.56,2.0984000000000007
row_ins_clust_index_entry_low,1.09,2.65,2.0817000000000005
__schedule,1.81,2.54,2.0800000000000005
sys_recvfrom,1.67,2.7,2.0763
finish_task_switch,1.78,2.48,2.0464
SYSC_recvfrom,1.65,2.65,2.0402999999999993
poll_schedule_timeout,1.7,2.4,1.9495999999999998
_raw_spin_unlock_irqrestore,1.67,2.26,1.9465000000000001
[libm-2.17.so],1.93,1.93,1.93
schedule_hrtimeout_range,1.69,2.38,1.9251000000000005
MYSQLlex,1.69,2.17,1.9182999999999995
schedule_hrtimeout_range_clock,1.68,2.36,1.9159000000000004
[libssl.so.1.0.2k],1.89,1.89,1.89
sock_recvmsg,1.48,2.42,1.8566000000000003
PT_query_specification::contextualize,1.65,1.98,1.7825000000000002
unix_stream_recvmsg,1.42,2.36,1.7785999999999993
lock_tables,1.6,2.05,1.7730000000000001
Sql_cmd_delete::delete_from_single_table,1.26,2.03,1.7680000000000007
__memcpy_ssse3_back,1.61,1.98,1.766699999999999
unix_stream_read_generic,1.33,2.22,1.6815999999999987
optimize_cond,1.43,1.83,1.6048000000000004
row_ins_sec_index_entry,0.51,2.13,1.5545999999999998
row_ins_sec_index_entry_low,0.51,2.13,1.5412000000000001
consume_skb,1.16,1.94,1.465
page_cur_search_with_match_bytes,1.28,1.69,1.4466999999999999
sys_sendto,1.29,1.6,1.4202999999999997
MYSQL_BIN_LOG::ordered_commit,1.08,1.66,1.4059
SYSC_sendto,1.26,1.58,1.4040000000000004
Query_block::setup_conds,1.24,1.57,1.3876000000000004
trans_commit_stmt,1.22,1.58,1.3793000000000006
SortingIterator::Init,1.18,1.58,1.3545999999999996
mysql_lock_tables,1.2,1.55,1.3475000000000004
SortingIterator::DoSort,1.16,1.57,1.3385000000000002
MDL_context::acquire_lock,1.15,1.5,1.3103999999999996
FilterIterator::Read,1.14,1.48,1.3033999999999997
